song_title,lyrics
Fly,"Led out on a leash behind you, holding ground
And I don't need no reminding, I've been around
Been around, yeah, I am a sound, yeah
Lie down with your peace where you find it
Won't come cheap
Fill up on love when you're hungry, tired then sleep
Have your dreams
Don't let it wind you, let it bring you down
I hate to tell you how little I have found
They paved the road with fool's gold
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm when there ain't no place to hide
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly
Follow where it leads, your heart will know what's true
Don't be blinded by shiny pretty things well past due
It's on you, yeah, it's on you, yeah
Don't let it wind you, let it bring you down
I hate to tell you how little I have found
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm when there ain't no place to hide
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly
They paved the road with fool's gold
They paved the road with fool's gold"
Drone,"In my eyes you are beautiful
Not just right, perfect spiritual
I did what I had to do to get higher
Spent myself on another, entangled like lovers
Not quite dark, not quite light
Steppin' in and out of madness
Such a dedicated drone
And though you find me rather tragic
I'll stay here and feed my pet black hole
In the time I have spent with you
Unconfined, beyond physical
I did not regret my time on the wire
Spent myself on another, entangled like lovers
Not quite dark, not quite light
Steppin' in and out of madness
Such a busy bee, a drone
And though you find me rather tragic
I bear the cost, can't dull my anger
And that's fine
Built up inside, obscuring danger
It's alive
In my eyes you are beautiful
Not just right, perfect spiritual
I did what I had to do to get higher
Spent myself on another, entangled like lovers
Not quite dark, not quite light
Steppin' in and out of madness
Such a dedicated drone
And though you find me rather tragic
I'll stay here and feed my pet black hole
Pet black hole
Pet black hole
Pet black hole
So beautiful"
Deaf Ears Blind Eyes,"Sinking below view
Time's been a wastin'
Alone in a full room
Nobody plays in
I own everything
Whine all set on eleven
I own everything
Cries a soul on fire
Hurt does surround you
Blinded and tied on
Numbness engulfs truth
Let bygones be bygones
I own everything
Whine all set on eleven
I own everything
Cries a soul on fire
And it tears me in a way
Hangin' over
And I feel it's here to stay
Inner coldness so ingrained
Feel like a fake thing
Where did the time go?
Memories worth making
Pass by the window
I own everything
Whine all set on eleven
I own everything
Cries a soul on fire
Soul on fire"
Maybe,"Long gone the days of summer
In L.A. it stretches longer
Fading, waiting
Try to heal but the pain it won't go
Start with less always seems to cost more
Hating, breaking
Remember, come December
One day can last forever
Ain't nowhere that's safe for a lowly pretender
I'm shooting straight for the target center
Maybe you should know
I'm feeling lonely and I'm tired, oh yeah
Maybe I should go
Got no desire to watch the last tear fall
Maybe this will show
I'm reeling, empty, uninspired, oh yeah
Maybe I don't know
You anymore and I'm smiling
Our burden is untied
Let it die
I'd be lying if I said it felt right
Even though I got a dog in this fight
Wounded, losing
People talk, in and out the words go
To be the one from where the wind it does blow
Hounded, surrounded
Remember, come December
One life can live forever
Ain't nowhere that's safe for a lowly pretender
I'm shooting straight for the target center
Maybe you should know
I'm feeling lonely and I'm tired, oh yeah
Maybe I should go
Got no desire to watch the last tear fall
Maybe this will show
I'm reeling, empty, uninspired, oh yeah
Maybe I don't know
You anymore and I'm smiling
Our burden is untied
Let it die
Maybe you should know
I'm feeling lonely and I'm tired, oh yeah
Maybe I should go
Got no desire to watch the last tear fall
Maybe this will show
I'm reeling, empty, uninspired, oh yeah
Maybe I don't know
You anymore and I'm smiling
Our burden is untied
Let it die"
So Far Under,"I survive on the scraps you don't burn
Maybe love's something I'll never learn
This whole house of cards crumbling slow
If I disappear, would you even know?
The trap is time and no one gets off of this ride alive
The trap is time and no one gets off of this ride alive
So far under hell
Fought hard where I fell
Now forever dwell
So far under
So far under hell
Too much pain to tell
And now I'm ripped asunder
So far under
All my words sucked straight into the void
Same black hole where my heart was destroyed
The trap is time and no one gets off of this ride alive
The trap is time and no one gets off of this ride alive
So far under hell
Fought hard where I fell
Now forever dwell
So far under
So far under hell
Too much pain to tell
And now I'm ripped asunder
So far under
So far under hell
Fought hard where I fell
Now forever dwell
So far under
So far under hell
Too much pain to tell
And now I'm ripped asunder
So far under"
Never Fade,"Silent grief suffocates the room
I feel my breathing speed up at the thought of you
My inner voice seems to want me dead
Only choice to vanish down the trail I bled
You're never far away, I always see you
And when it all goes dark you light my way through
Never fade
I know you think you're someone I forgot
Never fade
I'm everything you really think I'm not
Never fade
I know you think you're someone I forgot
Never fade
Growing cold, try to numb my feeling
Lose control, all my friends are leaving
Paid the price for all the lives I used to live
Sacrifice for all the love I try to give
You're never far away, I always see you
And when it all goes dark you light my way through
Never fade
I know you think you're someone I forgot
Never fade
I'm everything you really think I'm not
Never fade
I know you think you're someone I forgot
Never fade
Never fade
I know you think you're someone I forgot
Never fade
I'm everything you really think I'm not
Never fade
I know you think you're someone I forgot
Never fade
I'm everything you really think I'm not
Never fade
Never fade
Never fade"
All I Am,"Cannot recognize the face before me
It's unfamiliar
Time has left me, broken down and homely
Can you still see me, I'm disguised?
Outside the window of your life
Clinging to the memory of your pride
After many years the road you wandered
Left me here alone deprived of others
On your toes or on your heels
There's a line drawn the floor
Where the blood has dried there is no shine
Have another go my friend, you see I can't feel anymore
While you question just who the hell am I
Is this all I am?
Given all I can?
Is this all I am?
'Til the end of time
Never knowing why
Ghosts and damage, no advantage for me
I'm past believing
Understand the price you pay, disarming
When you can leave it all behind
Outside the window of your eyes
Clinging to the memory of your prime
After many years the road you wandered
Left me here alone deprived of others
On your toes or on your heels
There's a hole worn the floor
Where the blood has dried there is no shine
Have another go my friend, you see I can't feel anymore
While you question just who the hell am I
Is this all I am?
Given all I can
Is this all I am?
'Til the end of time
Never knowing why
Cannot recognize the face before me
It's unfamiliar"
Hollow,"Come to me, I′ll fill the hole
Why would I be lying?
End fan, all planned out
Offering a wonderful
Peace of mind worth buying
Bow down last round up
pre-chorus
I am wise and you don't know
A cloud is my home
Only some get in
Got a ′maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
No problem with faith, just fear
Promise those who've gone before
Waitin′ on you flyin′
Leading, receiving us
I'm as flawed as any man
Look at me I′m smiling
Drink me, eat me up
I am wise and you don't know
A cloud is my home
Only some get in
Got a ′maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
No problem with faith, just fear
I am wise and you don′t know
A cloud is my home
Only some get in
Got a 'maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
The problem with faith
Fear
Liar
Liar
Liar
Liar
Liar
Liar"
Pretty Done,"So you got the thing you wanted
Don't let it go
Though it hurts your hand to hold it
Don't let it show
I'm pretty done
Once a favored son
I'm pretty done
Slap me 'round for fun
Finding no pleasant changes
In old enemies
Not a lead a bit part playing
In my story
I'm pretty done
Once a favored son
I'm pretty done
Slap me 'round for fun
I don't care to further amuse you
Never had you how, could I lose you?
Paid in full, I owe no one at all
I'm supposed to smile and ignore it
Better than some
High roads are to fall from
Already hung
I'm pretty done
Once a favored son
I'm pretty done
Slap me 'round for fun
Pushing towards hopeless mission
Curiosity, omission
History colored since the fall
I'm pretty done
I'm pretty done
I'm pretty done
I'm pretty done"
Stone,"I know you think I’m wrong but I’m not your tour guide
Have a guess, I don’t let you look inside
Cold dry stone
What makes you want to carve your initials in me?
Rained and weathered, erasing, hard to read
Find me distant, outwardly rough, obscene
Cold dry stone
Cold and dry a stone
Cold and dry a stone
I’m not a cornerstone in a palace for you
Time will bring your very own hard truth
Not to worry, ice covered rocks still move
Cold dry stone
Cold dry stone"
Voices,"Who am I, is this me?
Am I one or thirteen?
I've gone cold, hard to deal
Used to stand where I kneel
Everybody listen
Voices in my head
Everybody listen
Does yours say what mine says?
I want more, than I need
I don't know what is real
Everybody listen
Voices in my head
Everybody listen
Does yours say what mine says?
Anytime I listen
Voices in my head
Everybody listen
Does yours say what mine says?
Whispering of names, faces
Uniforms I've worn
And all that is gone
Always climbing
To fall down again
Holding onto everything
It's not what it seems
I've been told dreaming's free
Think I'll go back to sleep
Everybody listen
Voices in my head
Everybody listen
Does yours say what mine says?
Anytime I listen
Voices in my head
Everybody listen
Does yours say what mine says?
Calling out the names, faces
Uniforms I've worn
And all that is gone
Always climbing
To fall down again
Holding onto everything
It's not what it seems"
The Devil Put Dinosaurs Here,"Come to me I'll fill the hole
Why would I be lying
End fan, all planned out
Offering a wonderful
Peace of mind worth buying
Bow down last round up
I am wise and you don't know
A cloud is my home
Only some get in
Got a 'maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
No problem with faith just fear
Promise those who've gone before
Waitin' on you flyin'
Leading receiving us
I'm as flawed as any man
Look at me I'm smiling
Drink me, eat me up
I am wise and you don't know
A cloud is my home
Only some get in
Got a 'maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
No problem with faith just fear
I am wise and you don't know
A cloud is my home
Only some get in
Got a 'maginary friend
The devil put dinosaurs here
Jesus don't like a queer
The devil put dinosaurs here
No problem with faith
Fear
Liar"
Lab Monkey,"Anybody out there?
Anyone at all?
Can you finally hear this deep in
Scratching through the wall?
Came far to find me...
Down the rabbit hole...
Watch me smiling back while
Chewing on my skull
I know...
Wont forget...
Limped away
From the wreck
Is the monkey breathing?
Lookin' kinda sick...
Got a witty comment for me?
Have yourself a kick!
Does it make you feel good?
Are you full and strong?
Gonna end up in this cage and
I hope your stay is long
I know...
Wont forget...
Limped away
From the wreck
We'll never know what this is
'Til we take a look inside
I'm sure we'll find what came before it dies
We'll never know what this is
'Til we take a look inside
I'm sure we'll find what came before
Had enough - I don't need you to stick my hide
Had enough - no more tears for me left to cry
Had enough - I don't need you to blind my eyes
Had enough - no more tears for me left to cry
I know
Wont forget
Limped away
From the wreck
We'll never know what this is
'Til we take a look inside
I'm sure we'll find what came before it dies
We'll never know what this is
'Til we take a look inside
I'm sure we'll find what came before
Had enough - I don't need you to stick my hide
Had enough - no more tears for me left to cry
Had enough - I don't need you to blind my eyes
Had enough - no more tears for me left to cry"
Low Ceiling,"Old mister fun is back
Wonder where he's been hiding at
Hanging round the edge
Walls unfortified, inside
No different, patchwork hack
Toil away on an unlaid track
Falls closing in, got nowhere to hide
This time
Finding ceilings low
I'm too big or this room's too small
Why's my ceiling another's floor
Past twisted, expected wrap
Attention span increasingly short
Hard to breathe, this altitude will get you high
I've tried
Finding ceilings low
I'm too big or this room's too small
Why's my ceiling another's floor
And nobody can tell you
It's a moment in time
That defines and deforms you
Finding ceilings low
I'm too big or this room's too small
Why's my ceiling another's floor
And nobody can tell you
It's your moment in time
Write me over, false reporter
Can't you let me shine
Write me over, false reporter
Can't you let me shine
And nobody can tell you
It's a moment in time
That defines and deforms you"
Breath on a Window,"Mending fence along the road
Barely holding together
Mapless zone the road signs holed
Keep ahead of the weather
Long past time to close dead eyes
Find a break in the highway
Out here I'm invisible
Very few going my way
Breath on a window showing tic tac toe
Rear view reflecting there ain't nobody home
Ghost town strip of misery
I ain't feeling no better
Road kill heart inside of me
Follow it to the letter
Sundown brings a welcome change
Everything that's hiding
More at home in landscapes strange
Are you selling I'm buying
Breath on a window showing tic tac toe
Rearview reflecting there ain't nobody home
Cigarette burn holes outline an old soul
Connect the dot scribbling
And you would never know
Failed to head the signal
Thought you got through just in time
Crashing hard upon your ego
Penetrated from the side
I'd let you go, but you're always in the way
I'm the damage done, your scar of yesterday
I'd love to go, but you're always in the way
I'm the damage done, your scar of yesterday."
Scalpel,"Road narrows, pouring down
I'm breaking without a sound
Bits and pieces of trying
Get what you pay for, nothing
Frozen dreaming of yesterday
Potent, creeping I'm far away
From my hometown I lit out
To save my skin and shed some doubt
I know how false the floor
How high the sky
Been down that road before
It's a lie, you hide in someone else
Like a shining scalpel, cut yourself
Hard as truth is, been my friend
Don't need to be invited in
I'll go round 'til bested
Pick up myself and try again
I know how false the floor
How high the sky
Been down that road before
It's a lie, you hide in someone else
Like a shining scalpel, cut yourself
All comes in time
Don't fight it, don't mind it
Whatever may come
I know how false the floor
How high the sky
Been down both roads before
It's a lie, you hide in someone else
Like a shining scalpel, cut yourself"
Phantom Limb,"No hope of rescue
I'm trapped here alone
If I don't dig my own way out I'll die here
Gave my loyalty too soon
Now the forked-tongue piper's bill is due
Weather is shifting
So cold going numb
Through a pinhole of light, I see vultures circling
Bottom feeders pick my skin
Weathered brain a parasite within
Ego pulverized
No better medicine
Angels have been advised
Don't want no requiem
I'll just haunt you like a phantom limb
I'll just haunt you like a phantom limb
Gonna wear you like a second skin
I'll haunt you like a phantom limb...
Yeah...
Every new second
Getting harder to breathe
No matter which side I end up on, this ain't over
My regrets are many true
Still so much worse lies ahead for you
Ego pulverized
No better medicine
Angels have been advised
Don't want no requiem
I'll just haunt you like a phantom limb
I'll just haunt you like a phantom limb
Gonna wear you like a second skin
I'll haunt you like a phantom limb..."
Hung on a Hook,"Hung on a hook I'm a mirror
Cracked down the center I split you
Counting the clouds in a storm behind your eyes
Show you the face of a man who
Not that he wants but he has to
Look at the thing he's become, what I see
I'm caught in a still life with no frame
Sometimes people do, the world it don't change
Give up awaiting someday
Future between a gun and your head
Pieces of me on a tile floor
Look up at you as you change more
Floating in fear I appear a hundred times
Hold a reflection inside me
I cannot feel you are empty
Throw me away
I am broken not your time
I'm caught in a still life with no frame
Sometimes people do, the world it don't change
Give up awaiting someday
Future between a gun and your head
Not gonna save you
Perform euthanasia"
Choke,"Before you ask for something better
You should know I'm practiced at goodbyes
Are you so deprived
Think you're doing me a favor
I don't need no lesser savior
I'm doing fine
Fragile things so close together
Taped up broken from before
Part of something or all of nothing
A very long hard way to fall
Go then, if you don't feel right
Living in our home
Choking, eat your pride alone
Needless tension, the walls around you
Built before you came to tear them down
It was you I found
Take some time to think it over
If it's so hard to walk this road we mind
Then it's time to say goodbye
Fragile things so close together
Taped up broken from before
Part of something or all of nothing
A very long hard way to fall
Go then, if you don't feel right
Living in our home
Choking, eat your pride alone
So go then, if you don't feel right
Living in our home
Choking, eat your pride alone
If you don't feel right
Living in our home
Eat your pride alone"
All Secrets Known,"Hope, a new beginning
Time, time to start living life
Like just before we died
There's no going back to the place we started from
Hurts, falling through fingers
Trust, trust in the feeling
There's something left inside
There's no going back to the place we started from
All secrets known
Calm, all wounds are healing
Strong, truth is worth saving
I want to feel alive
There's no going back to the place we started from
All secrets known"
Check My Brain,"And so I found myself in the sun, oh yeah…
A hell of a place to end a run, oh yeah…
California, I'm fine,
Somebody check my brain
California's alright,
Somebody check my brain
I walked these streets a creep in a fog, oh yeah…
When she sang I answered the call, oh yeah…
California, I'm fine,
Somebody check my brain
California's alright,
Somebody check my brain
Tears that filled my bong…
Years expended gone…
I hung my guns and put 'em away, oh yeah…
A trick of the trade and by the way, oh yeah…
California, I'm fine,
Somebody check my brain
California's alright,
Somebody check my brain
Tears that filled my bong,
Years expended gone.
Tears that filled my bong,
Years expended gone."
Last of My Kind,"So young, so brazen, so unholy
I come to you in painted skies
Your broken saint, your ancient story
The living challenge to their lies
Trapped in the cold outside
There ain't no shelter
And they want to force my hand
Until I take what I wanted
And break all the lies
And defeat the fucking liars
Smash all the temples
And crawl through the rubble
And cry to the fallen
I'm the last of my kind still standing
I'm the last of my kind still standing down the law
A wolf alone upon the hillside
I live on what they throw away
I go to sleep behind the eight ball
I live to fight for one more day
I'm trapped in the cold outside
There ain't no shelter
And they want to force my hand
Until I take what I wanted
And break all the lies
And defeat the fucking liars
Smash all the temples
And crawl through the rubble
And cry to the fallen
Take what I wanted
And break all the lies
And defeat the fucking liars
Smash all the temples
And crawl through the rubble
And cry to the fallen
I'm the last of my kind still standing
I'm the last of my kind still standing down the law
I'm the last of my kind still standing
I'm the last of my kind still standing down the law
The last of my kind still standing
The last of my kind still standing"
Your Decision,"Time to change has come and gone
Watched your fears become your god
It's your decision
It's your decision
Overwhelmed, you chose to run
Apathetic to the stunned
It's your decision
It's your decision
You feed the fire that burned us all
When you lie
To feel the pain that spurs you on
Black inside
No one plans to take the path that brings you lower
And here you stand before us all and say it's over
It's over
It might seem an afterthought
Yes, it hurts to you know you're bought
It's your decision
It's your decision
You feed the fire that burned us all
When you lie
To feel the pain that spurs you on
Black inside
It's your decision
It's your decision
No one plans to take the path that brings you lower
And here you stand before us all and say it's over
It's over"
A Looking in View,"Hear footsteps creak the floor
The shadows give away
Someone outside the door
Wont let them in
Life damaged, gears to grind
A run-down broke machine
That steals your peace of mind
Before you know it's gone
Lay down
Lay
Silence burning, hold your tongue
Keep us separate, sullen, dumb
Hiding in a darkness under
Boiling to the surface, stumble, fall
A looking in view too long on the outside
Desperate plans make sense to the low life lie
A looking in view too long on the outside
Desperate plans make sense to the low life lie
These things I hate in you
Also reflect it seems
Distortion laced with spite
Takes you out of me
Lay down
Lay
Hiding in a darkness under
Boiling to the surface something
Crawling on your skin, discomfort
Makes you break and run, stumble, fall
A looking in view too long on the outside
Desperate plans make sense to the low life lie
A looking in view too long on the outside
Desperate plans make sense to the low life lie
It's why you never tell me (heaven's on your mind)
It's why you never tell me (heaven's on your mind)
It's why you never tell me (heaven's on your mind)
It's why you never tell me (heaven's on your mind)
A looking in view too long on the outside
Desperate plans make sense to the low life lie
A looking in view too long on the outside
Desperate plans make sense to the low life lie
It's why you never tell me (heaven's on your mind)"
When the Sun Rose Again,"Run, run 'til you drop
Hide, everyone knows
We all trade in never-befores
Selling out for the score
Prey, sqeal when you're caught
Cry, it's not my fault
Time to trade in never-befores
Selling out for the score
It seems you prophesized
All of this would end
Were you burned away
When the sun rose again?
Hate, long wearing thin
Negative, all you've been
Time to trade in never-befores
Selling out for the score
It seems you prophesized
All of this would end
Were you burned away
When the sun rose again?"
Acid Bubble,"You tried to kill me off
Surprised I remain
A scale tips impossible
Afraid of my own name
And I always paid attention to all the lines you crossed
Forgive this imperfection it shows and know
I am the child that lives and cries in a corner
Dies in a corner
Alone inside your mind
Intend obsolescence
Built into the system
I tried to shake it off
You can't remove this stain
A scale breaks impossible
Affraid we are the same
And you never paid attention to all the lines I crossed
Forgive this imperfection it shows and know
I am the child that lives and cries in a corner
Dies in a corner
Alone inside your mind
Hides in a corner
Dies in a corner
Alone inside your mind
Intend obsolescence
Built into the system"
Lesson Learned,"He broke my heart,
And now it's raining just to rub it in.
I'm at your door,
I feel so crazy about it.
You say, ""I told you so.""
You saw it long ago,
You knew he had to go.
I finally came around,
I'm back on solid ground.
Can't let it get me down.
It's alright,
It's alright,
It's alright,
It's alright.
It's alright,
It's alright,
It's alright,
It's alright.
Yes, I was burned but I call it a lesson learned.
The stake will be turned,
So I call it a lesson learned
My soul was returned,
So I call it a lesson learned.
Another lesson learned.
Sometimes some flies can take a minute to fully realize.
His tears,
Your eyes,
Thirty seconds to apologize.
You give it one more chance,
Just like the time before.
But he already know,
You'd give a hundred more.
Until that night in bed,
You wake up in a sweat,
You're racing to the door,
Can't take it anymore.
I was burned, but I call it a lesson learned.
The stake will be turned so I call it a lesson learned.
My soul has returned, so I call it a lesson learned.
Another lesson learned.
Life perfect ain't perfect if you don't know what the struggle's fore.
Falling down ain't falling down if you don't cry when you hit the floor.
It's called the past, cause I'm getting past
And I ain't nothing like I was before.
You ought to see me now.
Yes, I was burned but I call it a lesson learned.
The stake will be turned so I call it a lesson learned.
My soul has returned so I call it a lesson learned."
Take Her Out,"Here I am again
I feel time is dragging on
Aren't you getting tired of me?
Whinging overdrawn
Faceless, blind
Want to take her out again
She's not just mine
Want to take her out again
In a bodiless embrace
Thriving, I have grown
Fickle, changing, grip replaced
Choking, take it all
Faceless, blind
Want to take her out again
She's not just mine
Want to take her out again
Dedicated, true to form
Still the only one
Only guarantee
Continue after I am done
Faceless, blind
Want to take her out again
She's not just mine
Want to take her out again"
Private Hell,"I don't want to feel no more
It's easier to keep falling
Imitations are pale
Emptiness all
Tommorow's haunted by your ghost
Lay down
Black gives way to blue
Lay down
I'll remember you
Fading out by design
Consciously avoiding changes
Curtains drawn now its done
Silencing all
Tommorow's forcing a goodbye
Lay down
Black gives way to blue
Lay down
I'll rememner you"
Black Gives Way to Blue,"I don't wanna feel no more
It's easier to keep falling
Imitations are pale
Emptiness all tomorrows
Haunted by your ghost

Lay down, black gives way to blue
Lay down, I'll remember you

Fading out by design
Consciously avoiding changes
Curtains drawn, now it's done
Silencing all tomorrows
Forcing a goodbye

Lay down, black gives way to blue
Lay down, I'll remember you "
Grind,"In the darkest hole, you'd be well advised
Not to plan my funeral before the body dies, yeah
Come the morning light, it's a see through show
What you may have heard and what you think you know, yeah
Let the sun never blind your eyes
Let me sleep so my teeth don't grind
Hear a sound from a voice inside
Sure to play a part, so you love the game
And in truth your lies become one and same, yeah
I could set you free, rather hear the sound
Of your body breaking as I take you down, yeah
Let the sun never blind your eyes
Let me sleep so my teeth don't grind
Hear a sound from a voice inside
In the darkest hole, you'd be well advised
Not to plan my funeral before the body dies, yeah
Let the sun never blind your eyes
Let me sleep so my teeth don't grind
Hear a sound from a voice inside"
Brush Away,"I could use some time to curl away
My aggression is where you stake your claim
Why I question this curve on which you grade
My conception, a joke or latest craze?
I try to get away, and yet I stick around
So fall and crawl away, and brush away loose ground
My intention, may I arrive at eight?
Lie and dream some, surprise you guys I'm late
All right, correction, forgetting something, wait
I try to get away, and yet I stick around
So fall and crawl away, and brush away loose ground
Brush away loose ground
Brush away"
Sludge Factory,"You insult me in my home, you're forgiven this time
Things go well, your eyes dilate, you shake, and I'm high?
Look in my eyes deep and watch the clouds change with time
20 hours won't print my picture milk carton size
Carton size, carton size
Call me up congratulations ain't the real why
There's no pressure besides brilliance let's say by day 9
Endless corporate ignorance lets me control time
By the way, by the way, by the way
Once again you see an in, discolored skin gives you away
So afraid you kindly gurgle, out a date for me
Now the body of one soul I adore wants to die
You have always told me you'd not live past 25
I say stay long enough to repay all who cause strife
Once again you see an in, discolored skin gives you away
So afraid you kindly gurgle, out a date for me
""I bear true and an existing witness
to this barrel of monkeys.
A self proclaimed immoral success,
perfected by each whereof
individually deadly and equally so
and spread about the surrendered troops,
for even thousands of miles will not
tear apart their communication, or the lack thereof.
Vultures, liars, thieves, each proclaim their innocence
In no suggestion or rhyme, your weapon is contained in
the wrecking of the keeping the desired effect.
The breaking of the spirit thwarts the whole being.
Your weapon is guilt, your weapon is guilt, your weapon is guilt.
Guilt."""
Heaven Beside You,"Be what you wanna be
See what you came to see
Been what you wanna be
I don't like what I see
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter will
Heaven beside you... Hell within
And you think you have it still, heaven inside you
So there's problems in your life
That's fucked up, and I'm not blind
I'm just see through faded, super jaded
And out of my mind
Do what you wanna do
Go out and seek your truth
When I'm down and blue
Rather be me than you
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter will
Heaven beside you... Hell within
And you wish you had it still, heaven inside you
So there's problems in your life
That's fucked up, and I'm not blind
I'm just see through faded, super jaded
And out of my mind
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter chill
Heaven beside you... Hell within
Like the coldest winter will
Heaven beside you... Hell within
And you know you have it still, heaven inside you
So there's problems in your life
That's fucked up, but You're not blind
You're just see through faded, overrated
And out of your mind"
Head Creeps,"No more time
Just one more time
So crazy, beat the strain
Too lazy, shake the gray
So, and she willed the rain
So let me be defamed
Your redundancy stains
Tired of infantile claims
Like puppets on a string
Untangle you from me
Time to call the doggies off
Tired of the shadowin'
Slide me to the side again
Slapped in the face again
No more time
Just one more time
Your redundancy stains
Tired of infantile claims
Like puppets on a string
Untangle you from me
So crazy, beat the strain
Too lazy, shake the gray
So, and she willed the rain
So let me be defamed
Time to call the doggies off
Tired of the shadowin'
Slide me to the side again
Slapped in the face again
One day my plane leaves
Some way my head creeps
Some day my head leads
Some way my head creeps
No more time
Just one more time
Empty room sets the scene
Pick at me slow, pain fiend
Suck me through barbed screen
Anger becomes our queen
Tongue whipping forked black
How long until you crack
Surprised and set back
Lackeys' loose talk for fact
Time to call the doggies off
Tired of the shadowin'
Slide me to the side again
Slapped in the face again
One day my plane leaves
Some way my head creeps
Some day my head leads
Some way my head creeps
Creeps
No more time
Just one more time
So crazy feel the hate
Yeah, I've got years to wait
I know it's not too late
Lending clean hands of fate
Rise from the dirt I'm in
Hide in another's skin
Stick black dress doll with pin
Your mouth takes on my grin
So crazy"
Again,"Hey, let them do it again, yeah
Hey, you said you were my friend
Hey, turn me upside down, Oh
Hey, feelin' so down
Hey, hey...hey...hey...
You made a fool of me again
Again
Hey, I know I made the same mistake, yeah
I, I won't do it again, no
Why, Why you slap me in the face, oww
I, I didn't say it was OK, no
No, No...
You violate a part of me again
Again
Ah, ooo
Whoo whoo, yeah
Hey, you had time to think it out, yeah
Hey, Your weak will won't help her heal her heart
Hey, I'll bet it really eats you up
Extending part of me again
Again
Ooo
Whoo whoo, yeah"
Shame In You,"When I waken, and I'm achin', time for sleepin, yeah
When I'm sayin time to go and, I've been hurtin, yeah
When I'm layin, I'm still tryin, concentrating on dyin', yeah
You're right as rain, but you're all to blame
Agreed my crime's the same
My sins I'll claim, give you back shed pain
Go find a place for own shame
So you can deal with this thing unreal
No one made you feel any hurt, yeah
Body's movin, only provin, no one needed to move
Still believin, yet mistaken, all God's children, yeah
And I must say, I was stupid, selfishly she consumed, yeah
And you must change patterns all we trained
Or n'er regain peace you seek
Now you hear me, for the things I see
Yeah, I believe in inner peace, yeah
Throw out, blow up, hold in
Show fine, no signs, grow blind"
God Am,"""Sure God's all powerful, but does he have lips?
Whoa...""
Dear God, how have you been then?
I'm not fine, fuck pretending
All of this death your sending
Best throw some free heart mending
Invite you in my heart, then
When done, my sins forgiven
This God of mine relaxes
World dies, I still pay taxes
Can I be as my God am?
Can you be as God am?
Can I be as my God am?
God of all, my God am
So Lord, I see you grinning
Must be grand always winning
How proud are you being able
To gather faith from fable?
Can I be as my God am?
Can you be as God am?
Can I be as my God am?
God of all, my God am
God am
My God am
God am
God...
All the respect I'm giving
Shared strength acquired by living
All blooming life you're feeding
Can't hide sick ones you're weeding
Can I be as my God am?
Can you be as God am?
Can I be as my God am?
God of all, my God am
God am
God am
God am
God am"
So Close,"""I'm serious, there's big money going on""
""Big big money!""
Why are here again?
It's the same old sit down roll around chewed up pen
Nothin thrilling me too much, yeah
Nothin thrilling me too much, yeah
Nothin thrilling me too much, yeah
Nothin thrilling me...
Yeah, so close now
Yeah, so close now
Man I nearly snapped my twig
Then again I nearly snapped a few of you
So I hear you think highly now
So I hear you think highly now
So I hear you think highly now
So I hear you think...
Yeah, so close now
Yeah, so close now
Why?"
Nothin' Song,Be this way
Frogs,"What does friend mean to you?
A word so wrongfully abused
Are you like me, confused
All included but you
Alone...
The sounds of silence often soothe
Shapes and colors shift with mood
Pupils widen and change their hue
Rapid brown avoid clear blue
Why's it have to be this way
Be this way
Flowers watched through wide brown eyes bloom
A child sings an unclaimed tune
Innocence spins cold cocoon
Grow to see the pain too soon
Why's it have to be this way
Be this way
Be this way
Be this way
Be this way
Be this way
""At 7 am on a Tuesday, usual August ...
Next week I'll be 28...
I'm still young, it'll be me...
Off the wall I scrape... you...
I can't wake, I gotta wake...
To cause this wake, I gotta wake no more...
It causes wake, to drown this hate....
To never really stay, never will.....
You take your plate...
Put me through hell, live, live...
Direct your fate...
You say I can do it so well...
Your expiration date...
Fate, date, expiration date...
(this was the last time)
Hate...
And don't fuck with me again...
My own clean slate...
Don't fuck with me again...
Makes your eyes dilate...
Makes you shake...
Irate..."""
